id,ibu_category_nbr,srm_category_nbr,abv_category_nbr,attenuation_category_nbr,outcome
96,1,11,2,3,IBU Low Black ABV Medium Atten High
97,3,5,3,3,IBU High Pale Amber ABV High Atten High
98,1,12,1,2,IBU Low Amber Brown ABV Low Atten Medium
99,3,12,1,3,IBU High Amber Brown ABV Low Atten High
100,3,7,1,3,IBU High Deep Amber ABV Low Atten High
101,3,11,1,2,IBU High Black ABV Low Atten Medium
102,2,4,2,3,IBU Medium Deep Gold ABV Medium Atten High
103,3,7,2,3,IBU High Deep Amber ABV Medium Atten High
104,3,8,1,3,IBU High Brown ABV Low Atten High
105,3,11,1,3,IBU High Black ABV Low Atten High
106,3,5,1,2,IBU High Pale Amber ABV Low Atten Medium
107,3,12,1,3,IBU High Amber Brown ABV Low Atten High
108,3,12,1,2,IBU High Amber Brown ABV Low Atten Medium
109,3,12,2,2,IBU High Amber Brown ABV Medium Atten Medium
110,2,10,1,2,IBU Medium Deep Brown ABV Low Atten Medium
111,3,7,1,2,IBU High Deep Amber ABV Low Atten Medium
112,1,3,1,2,IBU Low Pale Gold ABV Low Atten Medium
113,3,10,1,3,IBU High Deep Brown ABV Low Atten High
114,3,11,1,2,IBU High Black ABV Low Atten Medium
115,3,3,1,3,IBU High Pale Gold ABV Low Atten High
116,3,5,1,3,IBU High Pale Amber ABV Low Atten High
117,3,7,1,2,IBU High Deep Amber ABV Low Atten Medium
118,2,11,1,2,IBU Medium Black ABV Low Atten Medium
119,2,11,1,2,IBU Medium Black ABV Low Atten Medium
120,3,11,2,2,IBU High Black ABV Medium Atten Medium
121,3,6,1,3,IBU High Medium Amber ABV Low Atten High
122,3,12,1,3,IBU High Amber Brown ABV Low Atten High
123,3,9,1,2,IBU High Ruby Brown ABV Low Atten Medium
124,3,5,1,2,IBU High Pale Amber ABV Low Atten Medium
125,3,5,1,3,IBU High Pale Amber ABV Low Atten High
126,3,11,1,2,IBU High Black ABV Low Atten Medium
127,3,6,1,2,IBU High Medium Amber ABV Low Atten Medium
128,3,12,1,2,IBU High Amber Brown ABV Low Atten Medium
129,3,11,2,2,IBU High Black ABV Medium Atten Medium
130,1,12,1,3,IBU Low Undefined ABV Low Atten High
131,3,6,1,2,IBU High Medium Amber ABV Low Atten Medium
132,2,10,1,2,IBU Medium Deep Brown ABV Low Atten Medium
